ds,y
1/4/2018,22
1/5/2018,30
1/8/2018,0
1/9/2018,37
1/11/2018,10
1/12/2018,19
1/13/2018,7
1/15/2018,23
1/16/2018,28
1/18/2018,21
1/19/2018,10
1/20/2018,10
1/22/2018,26
1/23/2018,5
1/25/2018,6
1/26/2018,10
1/27/2018,15
1/29/2018,9
1/30/2018,6
2/1/2018,4
2/2/2018,9
2/3/2018,15
2/5/2018,12
2/6/2018,14
2/8/2018,9
2/9/2018,19
2/10/2018,18
2/12/2018,24
2/13/2018,26
2/15/2018,21
2/16/2018,15
2/17/2018,30
2/19/2018,36
2/20/2018,35
2/23/2018,24
2/24/2018,18
2/26/2018,14
2/27/2018,25
3/1/2018,8
3/1/2018,7
3/2/2018,16
3/2/2018,8
3/3/2018,2
3/3/2018,4
3/5/2018,24
3/5/2018,12
3/6/2018,17
3/6/2018,5
3/8/2018,23
3/8/2018,9
3/9/2018,36
3/9/2018,15
3/10/2018,20
3/10/2018,15
3/12/2018,57
3/12/2018,21
3/13/2018,27
3/13/2018,15
3/15/2018,41
3/15/2018,7
3/16/2018,49
3/16/2018,17
3/17/2018,16
3/17/2018,7
3/20/2018,0
3/20/2018,0
3/20/2018,38
3/21/2018,9
3/21/2018,4
3/22/2018,77
3/22/2018,27
3/23/2018,0
3/23/2018,0
3/24/2018,34
3/24/2018,24
3/26/2018,79
3/26/2018,31
3/27/2018,72
3/27/2018,65
3/29/2018,71
3/29/2018,23
3/30/2018,50
3/30/2018,35
3/31/2018,49
3/31/2018,24
4/3/2018,70
4/3/2018,58
4/5/2018,76
4/5/2018,47
4/6/2018,79
4/6/2018,58
4/7/2018,68
4/7/2018,17
4/9/2018,57
4/9/2018,50
4/10/2018,36
4/10/2018,36
4/12/2018,60
4/12/2018,23
4/13/2018,50
4/13/2018,18
4/14/2018,32
4/14/2018,25
4/16/2018,95
4/16/2018,24
4/17/2018,69
4/17/2018,25
4/19/2018,55
4/19/2018,36
4/20/2018,53
4/20/2018,21
4/21/2018,54
4/21/2018,26
4/23/2018,69
4/23/2018,49
4/24/2018,60
4/24/2018,36
4/26/2018,80
4/26/2018,27
4/27/2018,63
4/27/2018,20
4/28/2018,65
4/28/2018,28
4/30/2018,108
4/30/2018,52
5/3/2018,97
5/3/2018,47
5/4/2018,68
5/4/2018,35
5/5/2018,48
5/5/2018,41
5/7/2018,97
5/7/2018,57
5/8/2018,84
5/8/2018,47
5/10/2018,103
5/10/2018,73
5/11/2018,70
5/11/2018,58
5/12/2018,64
5/12/2018,36
5/14/2018,126
5/14/2018,46
5/15/2018,102
5/15/2018,47
5/17/2018,98
5/17/2018,80
5/18/2018,67
5/18/2018,57
5/19/2018,101
5/19/2018,68
5/21/2018,110
5/21/2018,48
5/22/2018,83
5/22/2018,75
5/24/2018,143
5/24/2018,54
5/25/2018,110
5/25/2018,83
5/26/2018,90
5/26/2018,62
5/28/2018,155
5/28/2018,84
5/29/2018,141
5/29/2018,70
5/31/2018,139
5/31/2018,71
6/1/2018,108
6/1/2018,46
6/2/2018,102
6/2/2018,36
6/4/2018,117
6/4/2018,62
6/5/2018,116
6/5/2018,83
6/7/2018,108
6/7/2018,61
6/8/2018,63
6/8/2018,70
6/9/2018,78
6/9/2018,76
6/11/2018,124
6/11/2018,56
6/12/2018,143
6/12/2018,80
6/14/2018,149
6/14/2018,68
6/15/2018,69
6/15/2018,47
6/16/2018,84
6/16/2018,68
6/18/2018,129
6/18/2018,65
6/19/2018,126
6/19/2018,55
6/21/2018,165
6/21/2018,103
6/22/2018,164
6/22/2018,70
6/23/2018,111
6/23/2018,83
6/25/2018,113
6/25/2018,82
6/26/2018,196
6/26/2018,63
6/28/2018,167
6/28/2018,72
6/30/2018,126
6/30/2018,43
7/2/2018,112
7/2/2018,53
7/3/2018,181
7/3/2018,93
7/5/2018,153
7/5/2018,123
7/6/2018,102
7/6/2018,67
7/7/2018,91
7/7/2018,54
7/9/2018,123
7/9/2018,77
7/10/2018,79
7/10/2018,102
7/12/2018,115
7/12/2018,60
7/13/2018,83
7/13/2018,69
7/14/2018,62
7/14/2018,16
7/14/2018,37
7/16/2018,103
7/16/2018,78
7/17/2018,112
7/17/2018,75
